Original Name,Player,Wikipedia,Image URL
Lionel Andrés Messi Cuccittini,Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi,//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Lionel-Messi-Argentina-2022-FIFA-World-Cup_%28cropped%29.jpg/220px-Lionel-Messi-Argentina-2022-FIFA-World-Cup_%28cropped%29.jpg
Christian  Dannemann Eriksen,Christian Eriksen,https://en.wikipedia.org/wiki/Christian_Eriksen,//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/20140904_-_Christian_Eriksen_%28cropped%29.jpg/220px-20140904_-_Christian_Eriksen_%28cropped%29.jpg
Paul Pogba,Paul Pogba,https://en.wikipedia.org/wiki/Paul_Pogba,//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/FRA-ARG_%2811%29_-_Paul_Pogba_%28cropped_2%29.jpg/220px-FRA-ARG_%2811%29_-_Paul_Pogba_%28cropped_2%29.jpg
Lorenzo Insigne,Lorenzo Insigne,https://en.wikipedia.org/wiki/Lorenzo_Insigne,//upload.wikimedia.org/wikipedia/commons/thumb/6/60/Lorenzo_Insigne_2021.jpg/220px-Lorenzo_Insigne_2021.jpg
Kalidou Koulibaly,Kalidou Koulibaly,https://en.wikipedia.org/wiki/Kalidou_Koulibaly,//upload.wikimedia.org/wikipedia/commons/thumb/3/31/Joueur_de_foot.jpg/220px-Joueur_de_foot.jpg
Kalidou Koulibaly,Kalidou Yero,https://en.wikipedia.org/wiki/Kalidou_Yero,
Virgil van Dijk,Virgil van Dijk,https://en.wikipedia.org/wiki/Virgil_van_Dijk,//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/20160604_AUT_NED_8876_%28cropped%29.jpg/220px-20160604_AUT_NED_8876_%28cropped%29.jpg
Kylian Mbappé,Kylian Mbappé,https://en.wikipedia.org/wiki/Kylian_Mbapp%C3%A9,//upload.wikimedia.org/wikipedia/commons/thumb/5/57/2019-07-17_SG_Dynamo_Dresden_vs._Paris_Saint-Germain_by_Sandro_Halank%E2%80%93129_%28cropped%29.jpg/220px-2019-07-17_SG_Dynamo_Dresden_vs._Paris_Saint-Germain_by_Sandro_Halank%E2%80%93129_%28cropped%29.jpg
Sergio Leonel Agüero del Castillo,Sergio Agüero,https://en.wikipedia.org/wiki/Sergio_Ag%C3%BCero,//upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Ag%C3%BCero_in_2018.jpg/220px-Ag%C3%BCero_in_2018.jpg
Manuel Neuer,Manuel Neuer,https://en.wikipedia.org/wiki/Manuel_Neuer,//upload.wikimedia.org/wikipedia/commons/thumb/1/10/20180602_FIFA_Friendly_Match_Austria_vs._Germany_Manuel_Neuer_850_0723.jpg/220px-20180602_FIFA_Friendly_Match_Austria_vs._Germany_Manuel_Neuer_850_0723.jpg
